Sumber Air,No. Permohonan,Nama Lokasi,Lokasi Contoh Uji,Titik Koordinat,Parameter,Satuan,Tahun,Bulan,Konsentrasi,Baku Mutu,Metode Uji
Air Sungai,67,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Nitrat,mg/L,2021,Agustus,11.1,10,APHA 4500-NO3-B 2019
Mikrobiologi Air Sungai,68,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Faecal Coliform,MPN/100 ml,2021,Agustus,49.0,1000,"APHA 22nd Edition, 9221 E, 2012"
Mikrobiologi Air Sungai,68,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Total coliform,MPN/100 ml,2021,Agustus,49.0,5000,"APHA 22nd Edition, 9221 B, 2012"
Air Sungai,78,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Residu Tersuspensi (TSS),mg/L,2021,September,3.2,75,SNI  6989.3 - 2019
Air Sungai,78,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Suhu,?C,2021,September,29.2,suhu udara ? 3?C,SNI 06 - 6989.23 - 2005
Air Sungai,78,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Warna,TCU,2021,September,75.1,50,SNI 6989.80:2011
Air Sungai,78,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Fluorida,mg/L,2021,September,0.06,1.5,SNI 06-6989.29-2005
Air Sungai,78,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Nitrit ,mg/L,2021,September,0.172,Tidak dipersyaratkan,SNI-06-6989-9-2004
Air Sungai,78,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",pH,,2021,September,6.82,9-Jun,SNI 6989.11 : 2019
Air Sungai,78,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",klorida,mg/L,2021,September,20.0,800,SNI 6989.19-2009
Air Sungai,78,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",COD,mg/L,2021,September,12.1,25,SNI 6989.2-2019
Air Sungai,78,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",BOD,mg/L,2021,September,2.3,3,SNI 6989.72 :2009
Air Sungai,78,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",DO,mg/L,2021,September,6.0,4,APHA 4500-O G. 2017
Air Sungai,78,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Cu Terlarut,mg/L,2021,September,0.018,0.02,SNI 6989.6: 2009
Air Sungai,78,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Zn Terlarut,mg/L,2021,September,0.015,Tidak dipersyaratkan,SNI-06-6989.84:2019
Air Sungai,78,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Klorin total,mg/L,2021,September,0.08,0.03,Merck Colorimetric DPD
Air Sungai,78,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Fosfat,mg/L,2021,September,0.49,Tidak dipersyaratkan,SNI 6989-31:2021
Air Sungai,78,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Nitrat,mg/L,2021,September,10.4,10,APHA 4500-NO3-B 2019
Mikrobiologi Air Sungai,79,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Faecal Coliform,MPN/100 ml,2021,September,130.0,1000,"APHA 22nd Edition, 9221 E, 2012"
Mikrobiologi Air Sungai,79,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Total coliform,MPN/100 ml,2021,September,170.0,5000,"APHA 22nd Edition, 9221 B, 2012"
Air Sungai,97,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Residu Tersuspensi (TSS),mg/L,2021,Oktober,9.4,75,SNI  6989.3 - 2019
Air Sungai,97,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Suhu,?C,2021,Oktober,28.2,suhu udara ? 3?C,SNI 06 - 6989.23 - 2005
Air Sungai,97,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Warna,TCU,2021,Oktober,79.0,50,SNI 6989.80:2011
Air Sungai,97,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Fluorida,mg/L,2021,Oktober,0.5,1.5,SNI 06-6989.29-2005
Air Sungai,97,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Nitrit ,mg/L,2021,Oktober,0.23,Tidak dipersyaratkan,SNI-06-6989-9-2004
Air Sungai,97,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",pH,,2021,Oktober,6.35,9-Jun,SNI 6989.11 : 2019
Air Sungai,97,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",klorida,mg/L,2021,Oktober,21.2,800,SNI 6989.19-2009
Air Sungai,97,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",COD,mg/L,2021,Oktober,13.0,25,SNI 6989.2-2019
Air Sungai,97,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",BOD,mg/L,2021,Oktober,4.7,3,SNI 6989.72 :2009
Air Sungai,97,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",DO,mg/L,2021,Oktober,6.1,4,APHA 4500-O G. 2017
Air Sungai,97,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Cu Terlarut,mg/L,2021,Oktober,0.018,0.02,SNI 6989.6: 2009
Air Sungai,97,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Zn Terlarut,mg/L,2021,Oktober,0.015,Tidak dipersyaratkan,SNI-06-6989.84:2019
Air Sungai,97,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Klorin total,mg/L,2021,Oktober,0.08,0.03,Merck Colorimetric DPD
Air Sungai,97,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Fosfat,mg/L,2021,Oktober,0.7,Tidak dipersyaratkan,SNI 6989-31:2021
Air Sungai,97,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Nitrat,mg/L,2021,Oktober,9.8,10,APHA 4500-NO3-B 2019
Air Sungai,97,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Sianida,mg/L,2021,Oktober,0.002,"0,02",Cyanide tes_Spectroquant
Mikrobiologi Air Sungai,98,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Faecal Coliform,MPN/100 ml,2021,Oktober,240.0,1000,"APHA 22nd Edition, 9221 E, 2012"
Mikrobiologi Air Sungai,98,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Total coliform,MPN/100 ml,2021,Oktober,920.0,5000,"APHA 22nd Edition, 9221 B, 2012"
Air Sungai,120,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Residu Terlarut (TDS),mg/L,2021,November,105.0,1000,TDS portablemeter
Air Sungai,120,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Residu Tersuspensi (TSS),mg/L,2021,November,8.4,75,SNI  6989.3 - 2019
Air Sungai,120,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Suhu,?C,2021,November,26.3,suhu udara ? 3?C,SNI 06 - 6989.23 - 2005
Air Sungai,120,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",DHL,?mhos/cm,2021,November,213.0,Tidak dipersyaratkan,SNI 6989.1:2019
Air Sungai,120,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Warna,TCU,2021,November,46.77,50,SNI 6989.80:2011
Air Sungai,120,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Fluorida,mg/L,2021,November,0.29,1.5,SNI 06-6989.29-2005
Air Sungai,120,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Nitrit ,mg/L,2021,November,0.06,Tidak dipersyaratkan,SNI-06-6989-9-2004
Air Sungai,120,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",pH,,2021,November,6.25,9-Jun,SNI 6989.11 : 2019
Air Sungai,120,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",klorida,mg/L,2021,November,11.0,800,SNI 6989.19-2009
Air Sungai,120,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",COD,mg/L,2021,November,11.2,25,SNI 6989.2-2019
Air Sungai,120,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",BOD,mg/L,2021,November,3.8,3,SNI 6989.72 :2009
Air Sungai,120,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",DO,mg/L,2021,November,6.6,4,APHA 4500-O G. 2017
Air Sungai,120,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Cu Terlarut,mg/L,2021,November,0.018,0.02,SNI 6989.6: 2009
